c_emo	c_hash	m_mention	url	c_url	tweet_text	c_mention	parsed_text	length	m_emo	user	published_date	c_quote	m_hash	D	#	E	G	!	&	@	A	$	L	M	N	O	","	U	T	V	P	S	R	~	^	Y	X	Z	e/p/i	s/ns/na	sentiment
0	0			0	Obsessed with the bud light living commercials. They're too true.	0	Obsessed with the bud light living commercials. They _DQ re too true.	65		sapiano18	39:56.0	1		1	0	0	0	0	0	0	1	0	1	0	3	0	2	0	0	2	1	0	1	0	0	0	0	0	?	?	positive
0	0			0	The Bud Light Living commercial is actually super annoying	0	The Bud Light Living commercial is actually super annoying	58		rissalmarie	28:13.0	0		2	0	0	0	0	0	0	2	0	1	0	4	0	2	0	0	3	1	0	3	0	3	0	0	0	?	?	negative
0	0	steveaoki		0	Ohhh damn! @steveaoki for Bud Light!	1	Ohhh damn!  _MENTION  for Bud Light!	36		jerichocoquilla	32:20.0	0		2	0	0	0	2	0	1	2	0	1	0	4	0	4	0	0	3	2	0	3	0	5	0	0	0	?	?	positive
0	1			0	"If my exploits could ever be described as \bud light living\"" I am in need of some heavy dying. #dumbdownthepublic2014"""	0	If my exploits could ever be described as  _DQ bud light living _DQ  I am in need of some heavy dying.  _HASH 	117		Anheliger	29:34.0	2	dumbdownthepublic2014	4	1	0	0	2	0	1	3	0	1	0	8	1	7	0	0	9	6	0	4	0	5	0	0	0	?	?	negative
0	0			0	Steve Aoki in a bud light commercial??	0	Steve Aoki in a bud light commercial??	38		marunguy_	25:30.0	0		5	1	0	0	2	0	1	3	0	1	0	11	1	8	0	0	9	7	0	4	0	7	0	0	0	?	?	neutral
0	4			1	youtu.be/HViYGkdSd2I Have you seen the new video? Check it out! #budlightliving #BudLightSensation #BeachDay #divineintervention	0	 _URL  Have you seen the new video? Check it out!  _HASH   _HASH   _HASH   _HASH 	128		BigCitySendOut	32:56.0	0	"budlightliving,BudLightSensation,BeachDay,divineintervention"	6	5	0	0	2	0	1	4	0	1	0	12	3	10	1	1	12	7	0	4	0	7	0	0	0	?	?	positive
0	1	BudLightCA		1	RT @BudLightCA: #BudLightLiving gets unleashed in sin city. youtu.be/MLImiG6db0E	1	RT  _MENTION :  _HASH  gets unleashed in sin city.  _URL 	80		ToddAllen89	40:42.0	0	BudLightLiving	6	6	0	0	2	0	2	4	0	1	0	14	3	11	2	1	14	8	0	4	2	7	0	0	0	?	?	positive
0	2	"CLAWCKR,Durkin_420,CKRMFU"		0	RT @CLAWCKR: @Durkin_420 @CKRMFU wack af worst beer I've had in a minute would rather sip a #budlight #Budlightliving	3	RT  _MENTION :  _MENTION   _MENTION  wack af worst beer I _DQ ve had in a minute would rather sip a  _HASH   _HASH 	117		Durkin_420	01:52.0	1	"budlight,Budlightliving"	8	7	0	0	2	0	5	6	0	2	0	17	3	11	2	1	17	9	0	6	4	7	0	0	0	?	?	neutral
0	1			1	#budlightliving # day off pic.twitter.com/JIHQsAgltV	0	 _HASH  # day off  _URL 	52		hyundaitob2001	42:39.0	0	budlightliving	8	9	0	0	2	0	5	6	0	2	0	18	3	11	3	1	17	10	0	6	4	7	0	0	0	?	?	positive
0	2			1	#BarLouie after work #$1Bottles #budlightliving pic.twitter.com/z5uzG56R2N	0	 _HASH  after work #$1Bottles  _HASH   _URL 	74		brenden_cooper	38:22.0	0	"BarLouie,budlightliving"	8	12	0	0	2	0	5	6	0	2	0	19	3	11	4	1	17	11	0	6	4	7	0	0	0	?	?	positive
0	0			0	"Those Bud Light Living commercials make me want to puke on someone who uses the word millennial, then die, then puke on them again"	0	"Those Bud Light Living commercials make me want to puke on someone who uses the word millennial, then die, then puke on them again"	130		MattGeeWilliams	55:13.0	0		10	12	0	0	2	0	5	6	0	2	0	23	6	13	4	1	23	14	0	9	4	10	0	0	0	?	?	negative
0	4			1	Sometimes you need to throw away the map and just get lost. #Relaxation #budlightliving #drinkitup #DrinkLocal pic.twitter.com/7Jtk3tQYID	0	Sometimes you need to throw away the map and just get lost.  _HASH   _HASH   _HASH   _HASH   _URL 	137		SkiTTzKnowsALL	58:25.0	0	"Relaxation,budlightliving,drinkitup,DrinkLocal"	11	16	0	0	2	1	5	7	0	2	0	24	7	14	5	1	26	15	0	12	4	10	0	0	0	?	?	positive
0	1			0	i'm going to need more then one mang-o-rite #budlightliving	0	i _DQ m going to need more then one mang-o-rite  _HASH 	59		Sweet_Beauty2	10:19.0	1	budlightliving	11	17	0	0	2	1	5	7	1	3	0	25	7	14	5	1	28	16	0	14	4	10	0	0	0	?	?	positive
0	1			1	Anything can happen when you're #BudLightLiving. Even this. youtu.be/5bxeCtydVlE	0	Anything can happen when you _DQ re  _HASH . Even this.  _URL 	80		BudLightCA	27:31.0	1	BudLightLiving	11	17	0	0	2	1	5	7	1	4	0	26	8	16	6	1	30	16	0	16	4	11	0	0	0	?	?	positive
0	1	BudLightCA		1	RT @BudLightCA: Anything can happen when you're #BudLightLiving. Even this. youtu.be/5bxeCtydVlE	1	RT  _MENTION : Anything can happen when you _DQ re  _HASH . Even this.  _URL 	96		Nancyf615	28:56.0	1	BudLightLiving	11	17	0	0	2	1	6	7	1	5	0	27	9	18	7	1	32	16	0	18	6	12	0	0	0	?	?	positive
0	0			0	I don't want to live the life of the Bud Light Living girls.	0	I don _DQ t want to live the life of the Bud Light Living girls.	60		PDoomcats	47:09.0	1		13	17	0	0	2	1	6	7	1	5	0	29	10	19	7	1	36	18	0	18	6	14	0	0	0	?	?	negative
